r1,r2,e1_cls,e2_cls
5.0,15.0,al2o3,au
10.0,20.0,al2o3,au
10.0,100.0,al2o3,au
20.0,140.0,al2o3,au
30.77,66.6,al2o3,au
45.89,111.71,al2o3,au
42.58,66.98,al2o3,au
38.22,39.22,al2o3,au
25.6,42.8,al2o3,au
16.89,88.9,al2o3,au
5.0,15.0,al2o3,ag
10.0,20.0,al2o3,ag
10.0,100.0,al2o3,ag
20.0,140.0,al2o3,ag
30.77,66.6,al2o3,ag
45.89,111.71,al2o3,ag
42.58,66.98,al2o3,ag
38.22,39.22,al2o3,ag
25.6,42.8,al2o3,ag
16.89,88.9,al2o3,ag
5.0,15.0,sio2,au
10.0,20.0,sio2,au
10.0,100.0,sio2,au
20.0,140.0,sio2,au
30.77,66.6,sio2,au
45.89,111.71,sio2,au
42.58,66.98,sio2,au
38.22,39.22,sio2,au
25.6,42.8,sio2,au
16.89,88.9,sio2,au
5.0,15.0,sio2,ag
10.0,20.0,sio2,ag
10.0,100.0,sio2,ag
20.0,140.0,sio2,ag
30.77,66.6,sio2,ag
45.89,111.71,sio2,ag
42.58,66.98,sio2,ag
38.22,39.22,sio2,ag
25.6,42.8,sio2,ag
16.89,88.9,sio2,ag
