wl,n,k,er,ei
187.9,1.28,1.188,0.22705600000000015,3.04128
188.9,1.290810810810811,1.192054054054054,0.24519968151935756,3.0774325200876556
189.9,1.3016216216216216,1.1961081081081082,0.2635442395909422,3.1137603506208915
190.9,1.3124324324324326,1.2001621621621623,0.28208967421475517,3.1502634915997088
191.9,1.3216216216216217,1.204864864864865,0.2949843681519355,3.184750913075238
192.9,1.327027027027027,1.2110810810810813,0.2942833455076692,3.2142746530314104
193.9,1.3324324324324326,1.2172972972972973,0.29356347699050445,3.2439327976625276
194.9,1.337837837837838,1.2235135135135136,0.2928247626004383,3.2737253469685905
195.9,1.3385,1.22975,0.2792971875000003,3.29204075
196.9,1.336,1.236,0.2572000000000003,3.302592
197.9,1.3335000000000001,1.2422499999999999,0.2350371875000008,3.31308075
198.9,1.3310000000000002,1.2485,0.21280875000000044,3.323507
199.9,1.33,1.2549,0.1941259900000003,3.338034
200.9,1.33,1.2613999999999999,0.1777700400000004,3.355324
201.9,1.33,1.2679,0.16132959000000002,3.3726140000000004
202.9,1.33,1.2744,0.14480464000000026,3.389904
203.9,1.3255000000000001,1.28105,0.1158611475000002,3.3960635500000005
204.9,1.318,1.2878,0.07869515999999988,3.3946408000000003
205.9,1.3105,1.29455,0.04155054749999976,3.3930155500000003
206.9,1.3030000000000002,1.3013000000000001,0.004427310000000073,3.391187800000001
207.9,1.3,1.31,-0.026100000000000012,3.406
208.9,1.3,1.32,-0.0524,3.4320000000000004
209.9,1.3,1.33,-0.07889999999999997,3.458
210.9,1.3,1.34,-0.10560000000000014,3.4840000000000004
211.9,1.3,1.35,-0.13250000000000006,3.5100000000000002
212.9,1.3,1.3582222222222222,-0.15476760493827135,3.5313777777777777
213.9,1.3,1.3664444444444444,-0.1771704197530859,3.5527555555555552
214.9,1.3,1.3746666666666665,-0.1997084444444437,3.574133333333333
215.9,1.3,1.3828888888888886,-0.22238167901234474,3.5955111111111107
216.9,1.3,1.3909999999999998,-0.24488099999999924,3.6165999999999996
217.9,1.3,1.3989999999999998,-0.26720099999999936,3.6373999999999995
218.9,1.3,1.4069999999999998,-0.2896489999999994,3.6581999999999995
219.9,1.3,1.4149999999999998,-0.3122249999999991,3.679
220.9,1.3,1.4229999999999998,-0.33492899999999914,3.6997999999999998
221.9,1.3010416666666667,1.4304374999999998,-0.3534420230034716,3.7221175781249993
222.9,1.303125,1.4373124999999998,-0.367732457031249,3.7459957031249997
223.9,1.3052083333333333,1.4441875,-0.3821087417534723,3.7699311197916665
224.9,1.3072916666666667,1.4510625,-0.39657087717013817,3.793923828125
225.9,1.309375,1.4579374999999999,-0.4111188632812499,3.8179738281249995
226.9,1.3086274509803921,1.465078431372549,-0.43394900461360986,3.8344837062668202
227.9,1.3066666666666666,1.4723333333333333,-0.4603876666666664,3.8476977777777774
228.9,1.3047058823529412,1.4795882352941174,-0.48692390657439377,3.8608549480968852
229.9,1.3027450980392157,1.4868431372549018,-0.513557724336793,3.873955217224144
230.9,1.3007843137254902,1.4940980392156862,-0.5402891199538638,3.886998585159554
231.9,1.3020689655172415,1.5010344827586206,-0.5577209274673005,3.9089008323424497
232.9,1.3055172413793104,1.5077586206896552,-0.5689607907253269,3.936809750297265
233.9,1.3089655172413794,1.5144827586206897,-0.5802673008323425,3.9648114149821647
234.9,1.3124137931034483,1.5212068965517243,-0.5916404577883476,3.9929058263971466
235.9,1.3158620689655174,1.5279310344827586,-0.6030802615933406,4.021092984542212
