lambd,r1,r2,eps_1,eps_2,eps_3,alpha,A_sca,A_abs,A_tot
1.879e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(0.2270560000000001+3.04128j),1.78,(1.966762441310891e-34+7.018559342109773e-35j),3.6895685354107365e-17,2.6506496854630557e-16,3.0196065390041296e-16
1.916e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(0.295191+3.1759200000000005j),1.78,(1.972871527484654e-34+6.940921613089563e-35j),3.4230737735160964e-17,2.5707081432694615e-16,2.913015520621071e-16
1.9530000000000003e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(0.29252400000000045+3.28568j),1.78,(1.979235604120417e-34+6.922185801577212e-35j),3.1873001232747467e-17,2.5151978156473537e-16,2.8339278279748285e-16
1.9930000000000002e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(0.2038990000000005+3.32766j),1.78,(1.9827826520787996e-34+6.962455833104355e-35j),2.952153596571673e-17,2.479055746053341e-16,2.774271105710508e-16
2.0330000000000003e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(0.13817099999999982+3.3968200000000004j),1.78,(1.9869082638439593e-34+6.983786135791197e-35j),2.7385305831762943e-17,2.4377248872046787e-16,2.711577945522308e-16
2.0730000000000004e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.010415999999999979+3.3904j),1.78,(1.9886553646935365e-34+7.043715038565588e-35j),2.5419703584455107e-17,2.411202104093821e-16,2.665399139938372e-16
2.119e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.13250000000000006+3.51j),1.78,(1.993773567641513e-34+7.068119035198456e-35j),2.3407905228734527e-17,2.3670314945072e-16,2.601110546794545e-16
2.1640000000000003e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.23376899999999926+3.6062j),1.78,(1.9966815029372413e-34+7.087665254147535e-35j),2.1589863065884554e-17,2.3242191745551533e-16,2.5401178052139987e-16
2.214e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.3463289999999992+3.7102j),1.78,(1.998651754893719e-34+7.109498355058349e-35j),1.9752796255867158e-17,2.278727952828713e-16,2.4762559153873847e-16
2.262e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.4154999999999995+3.8252j),1.78,(2.000020047651962e-34+7.127453026716989e-35j),1.8161122414013937e-17,2.236005675018336e-16,2.417616899158475e-16
2.313e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.5510089999999994+3.8922j),1.78,(1.99929168169052e-34+7.15152960980368e-35j),1.6613499549794803e-17,2.1940900432055608e-16,2.3602250387035087e-16
2.371e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.6168959999999999+4.05504j),1.78,(1.999733015570776e-34+7.186062880750919e-35j),1.5068981310436664e-17,2.150753297435628e-16,2.3014431105399946e-16
2.426e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.7445289999999998+4.16328j),1.78,(1.9976346077394536e-34+7.222304159973687e-35j),1.3738593452866127e-17,2.1125943603067903e-16,2.2499802948354516e-16
2.49e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-0.8912609999999999+4.3384599999999995j),1.78,(1.9943662570164715e-34+7.284884010611806e-35j),1.2368753006419188e-17,2.0761294669660085e-16,2.1998169970302004e-16
2.551e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.0804440000000006+4.490080000000002j),1.78,(1.9880842462108385e-34+7.35164904401895e-35j),1.1189490037552428e-17,2.0450571356196842e-16,2.1569520359952085e-16
